metric,cue,contrast,window,trial,SAD_minus_HC_d,t,p,SAD_mean,HC_mean,SAD_n,HC_n
safety_sim_csminus,CSS,SAD-HC,trial_6,6.0,0.18902227380216774,0.6776981885590693,0.5012332189365334,0.7700819999281634,0.7513174174167895,22,28
safety_sim_csminus,CSS,SAD-HC,trial_7,7.0,0.119349061346914,0.414183680926974,0.6807946782802025,0.7328574002901451,0.7155551191915075,22,28
safety_sim_csminus,CSS,SAD-HC,trial_8,8.0,-0.02030969712612115,-0.07216617359827883,0.9427759321645103,0.7528893175424076,0.7557314569551609,22,28
safety_sim_csminus,CSR,SAD-HC,early_1_2,,0.0032139798460738287,0.01111094571462194,0.9911872094415348,0.7403627070791239,0.7399683143855452,22,28
safety_sim_csminus,CSR,SAD-HC,mid_3_6,,0.27927531859983834,1.0104069544852687,0.3173670069474094,0.7789962591004879,0.7591166435065728,22,28
safety_sim_csminus,CSR,SAD-HC,late_5_8,,0.08494788196126273,0.3128934469504908,0.7557532170424967,0.7582582506957674,0.7511111601065806,22,28
safety_sim_csminus,CSR,SAD-HC,all_1_8,,0.14797959399943747,0.5262393592709568,0.6011921679340739,0.7611358622681803,0.7500457736181797,22,28
safety_sim_csminus,CSR,SAD-HC,analysis_3_8,,0.2009588847479818,0.7376445546366649,0.464384358496,0.7680602473311993,0.7534049266957246,22,28
safety_sim_csminus,CSS,SAD-HC,early_1_2,,-0.1502607914219192,-0.5221512623659499,0.6042230312677266,0.7743086135145535,0.7869993512967296,22,28
safety_sim_csminus,CSS,SAD-HC,mid_3_6,,0.17033769359045395,0.602793412057094,0.5495753286777749,0.7790893879985407,0.7659762923971315,22,28
safety_sim_csminus,CSS,SAD-HC,late_5_8,,0.16866820408372835,0.5921300413952982,0.556709377968604,0.7658686488292346,0.7528658377358335,22,28
safety_sim_csminus,CSS,SAD-HC,all_1_8,,0.0759703214581846,0.2678288222272759,0.7900296751249631,0.7688401871069779,0.7636488060410818,22,28
safety_sim_csminus,CSS,SAD-HC,analysis_3_8,,0.1471119757560962,0.519776008359527,0.605697394039176,0.7670173783044525,0.7558652909558656,22,28
threat_sim_early_reinst_csr,CSR,SAD-HC,trial_1,1.0,-0.132162932117689,-0.46713690680776637,0.6425916250590897,0.10429783939458742,0.13033629610720893,22,28
threat_sim_early_reinst_csr,CSR,SAD-HC,trial_2,2.0,-0.13662562194204486,-0.4693376963161193,0.6413228969498248,0.11224095869859664,0.1354002524315391,22,28
threat_sim_early_reinst_csr,CSR,SAD-HC,trial_3,3.0,-0.09168621371426224,-0.31621747520760485,0.7534129321759615,0.1293457804585817,0.1458480058715377,22,28
threat_sim_early_reinst_csr,CSR,SAD-HC,trial_4,4.0,-0.12150371900143701,-0.42114271137982023,0.6757572328676951,0.13119186336668462,0.15183598657924363,22,28
threat_sim_early_reinst_csr,CSR,SAD-HC,trial_5,5.0,0.08869066624459697,0.3104252331455535,0.7576790383741343,0.14081997273457375,0.12525870057074193,22,28
threat_sim_early_reinst_csr,CSR,SAD-HC,trial_6,6.0,-0.08477269032507273,-0.3024231413682627,0.7636528186203142,0.13185558116938492,0.1462426474418465,22,28
threat_sim_early_reinst_csr,CSR,SAD-HC,trial_7,7.0,0.04767516063235876,0.16189269517855503,0.8722436908603628,0.1457410290985164,0.13744917037087248,22,28
threat_sim_early_reinst_csr,CSR,SAD-HC,trial_8,8.0,-0.003549174863468925,-0.012786473405557868,0.9898511942854851,0.10535547408665108,0.10603876813079724,22,28
threat_sim_early_reinst_csr,CSS,SAD-HC,trial_1,1.0,-0.04965296326432011,-0.17505767260425098,0.861803277229921,0.14688982346603066,0.15612123438517767,22,28
threat_sim_early_reinst_csr,CSS,SAD-HC,trial_2,2.0,-0.13887738801518942,-0.4807768910951157,0.6331371338787147,0.11579957183111424,0.13609085219829717,22,28
threat_sim_early_reinst_csr,CSS,SAD-HC,trial_3,3.0,-0.0019105720939167777,-0.006639333952449792,0.9947330724256895,0.1197851231637757,0.12011579056694202,22,28
threat_sim_early_reinst_csr,CSS,SAD-HC,trial_4,4.0,0.0008834173908997922,0.003044872211537064,0.9975850983243925,0.13680540203505695,0.13664474943138466,22,28
threat_sim_early_reinst_csr,CSS,SAD-HC,trial_5,5.0,0.07130081792749203,0.24257489681832095,0.8096178510891371,0.1297030258558761,0.11827638118480109,22,28
threat_sim_early_reinst_csr,CSS,SAD-HC,trial_6,6.0,-0.0516348685664162,-0.1765549490807159,0.860753247690021,0.12561853595994554,0.13484657159874822,22,28
threat_sim_early_reinst_csr,CSS,SAD-HC,trial_7,7.0,-0.005611036756476372,-0.019677942797672193,0.9843870980716839,0.11801304431989691,0.11894939419511268,22,28
threat_sim_early_reinst_csr,CSS,SAD-HC,trial_8,8.0,-0.02270197747949356,-0.07936702557952814,0.9370962890353959,0.13075689770577262,0.1350796464950655,22,28
threat_sim_early_reinst_csr,CSR,SAD-HC,early_1_2,,-0.13865584626525443,-0.4831061089727286,0.6314219975122695,0.10826939904659204,0.132868274269374,22,28
threat_sim_early_reinst_csr,CSR,SAD-HC,mid_3_6,,-0.05539476273939656,-0.1932366813660377,0.8476605559092274,0.13330329943230623,0.14229633511584244,22,28
threat_sim_early_reinst_csr,CSR,SAD-HC,late_5_8,,0.013272008153942947,0.046815236132392746,0.9628629987360731,0.13094301427228153,0.12874732162856453,22,28
threat_sim_early_reinst_csr,CSR,SAD-HC,all_1_8,,-0.058847304631216325,-0.20526977497749224,0.8383058231744406,0.12510606237594707,0.13480122843797343,22,28
threat_sim_early_reinst_csr,CSR,SAD-HC,analysis_3_8,,-0.02885907196862266,-0.10083388833907986,0.9201360553009098,0.13071828348573208,0.13544554649417326,22,28
threat_sim_early_reinst_csr,CSS,SAD-HC,early_1_2,,-0.0910109077179946,-0.3179896950039011,0.7519828857540327,0.13134469764857246,0.14610604329173738,22,28
threat_sim_early_reinst_csr,CSS,SAD-HC,mid_3_6,,0.003116418671395847,0.01070661278016645,0.9915095935518541,0.12797802175366357,0.127470873195469,22,28
threat_sim_early_reinst_csr,CSS,SAD-HC,late_5_8,,-0.0047248585252369375,-0.01629176952530887,0.9870793232852679,0.1260228759603728,0.12678799836843188,22,28
threat_sim_early_reinst_csr,CSS,SAD-HC,all_1_8,,-0.025633663137209835,-0.08875602129294245,0.9296917419782249,0.12792142804218357,0.13201557750694112,22,28
threat_sim_early_reinst_csr,CSS,SAD-HC,analysis_3_8,,-0.003345042923497942,-0.011551624442113207,0.9908379950395612,0.1267803381733873,0.1273187555786757,22,28
