metric,n_tests,best_p,best_q,median_abs_d,max_abs_d,median_abs_g,max_abs_g,max_abs_rank_biserial,median_auc,best_rank_score
Neural_TrialwiseEvidenceCertaintySNR,6,0.10368506084940386,0.6607847173343012,0.241496499067432,0.5145007340255626,0.23773989600617945,0.5064195706639046,0.2175324675324677,0.5562888198757764,2.4411764705882355
Neural_RawMean_ThreatMinusBackground,6,0.12707768593148944,0.7759526161243904,0.21151095004212495,0.4195316482621184,0.2082041160475864,0.41294214593339407,0.1883116883116882,0.573828345567476,2.3574660633484164
Neural_Safety_InitialFinal_Change,6,0.23668304940849708,0.6352794072950126,0.20303234490136263,0.34482809399769426,0.19987996332548702,0.3394119459244321,0.24350649350649345,0.5636998870694523,2.3122171945701355
Neural_Safety_LearningAUC,6,0.17619926680116973,0.43092949483069615,0.3268968470565673,0.3519137152895204,0.3218167188390489,0.34638627473523476,0.20454545454545459,0.5641233766233766,2.3031674208144794
Neural_ThreatToSafetyDistanceRatio,6,0.10232161479397994,0.33370196918536865,0.37164593632920045,0.495094511707775,0.365867177424999,0.4873181581207419,0.2080745341614907,0.5737577639751553,2.2986425339366514
Neural_DynamicDiscriminationAUC,6,0.20152161865820087,0.6588969008494164,0.25573916829759513,0.3311756765909092,0.25175878672215374,0.32597396439314624,0.2240259740259739,0.5231154714850367,2.2805429864253393
Neural_SafetySpecificity,6,0.17133138439839524,0.393427623433352,0.330120310685637,0.37039963111711777,0.3249868999290516,0.3647011752537775,0.2080745341614907,0.5737577639751553,2.233031674208145
Neural_SafetyEvidence,6,0.17940399841341484,0.39725171077256144,0.3301811713711079,0.36453395690681817,0.32504672368159276,0.3589257421851748,0.2080745341614907,0.5737577639751553,2.2149321266968327
Neural_CSPlusDispersion,6,0.22583918179778326,0.8065473720043425,0.0781604537562463,0.3611876521696425,0.07694375531358176,0.35551454768530255,0.18181818181818188,0.5527950310559007,2.1968325791855206
Neural_CSPlusPrecision,6,0.22583918179778326,0.8065473720043425,0.0781604537562463,0.3611876521696425,0.07694375531358176,0.35551454768530255,0.18181818181818188,0.5527950310559006,2.1968325791855206
Neural_Safety_LatePhaseEvidence,6,0.1686786786886276,0.4968439112249266,0.2837161783273283,0.36094826708070815,0.27925990327506667,0.3552789225715871,0.21118012422360244,0.5459486166007905,2.1832579185520364
Neural_TrialwiseEvidenceMargin,6,0.25807782621124953,0.5625927600649062,0.19067530968464602,0.333293787890039,0.18774184338180533,0.3280588069284154,0.1655844155844155,0.5555124223602483,2.0475113122171944
Neural_RawNorm_SafetyMinusBackground,6,0.17974119431776914,0.528850404573132,0.3169684881655086,0.38053873573216696,0.3120920498860393,0.3745616875269497,0.11363636363636376,0.5442546583850931,2.0282805429864252
Neural_ThreatVsBackgroundSpecificity,6,0.17990821430964704,0.4220823306832311,0.33201471699297447,0.38958859121783584,0.32685290178217835,0.3835949205837153,0.11688311688311681,0.5389610389610391,1.927601809954751
Neural_RawMean_ThreatMinusSafety,6,0.29854458322676813,0.528850404573132,0.11806046032699259,0.28609038373881357,0.11623355345249908,0.28168899321975494,0.14596273291925466,0.5146103896103896,1.8495475113122173
Neural_DynamicDiscrimination_LatePhase,6,0.22692134470914424,0.5765215951004674,0.21537817911129903,0.31372266123763204,0.21206466866343293,0.3087950801710724,0.1428571428571428,0.5484542631281761,1.8054298642533937
Neural_Threat_InitialFinal_Change,6,0.3676478616219918,0.788967223554704,0.03201795856378135,0.2563103328118299,0.03152171621923011,0.25228451606609437,0.16558441558441572,0.5644409937888198,1.7975113122171944
Neural_Threat_LearningAUC,6,0.24718766968644854,0.7759526161243904,0.1305078327976947,0.30126339167367966,0.1284774684941507,0.29653150594058525,0.13043478260869557,0.5301030491247882,1.7726244343891402
Neural_Threat_EarlyLate_Change,6,0.384960574354017,0.788967223554704,0.09635594487366597,0.24889407448058298,0.09487354572176342,0.24498474346779897,0.16558441558441572,0.5318322981366459,1.754524886877828
Neural_BackgroundDispersion,6,0.45392450968881526,0.6588969008494164,0.17636441883650367,0.20155420013759393,0.17365112008517286,0.19845336628932325,0.25649350649350655,0.5527950310559007,1.7330316742081449
Neural_ThreatPrecision,6,0.24465992309888157,0.5331320170862545,0.1727101187524823,0.30856054337078814,0.1700371917927171,0.3038134580881606,0.09006211180124235,0.5278091473743648,1.7319004524886878
Neural_ThreatDispersion,6,0.24465992309888157,0.5331320170862545,0.1727101187524823,0.30856054337078814,0.1700371917927171,0.3038134580881606,0.09006211180124224,0.5278091473743648,1.7251131221719458
Neural_ResidualizedShockAxis_Axis_Norm,2,0.38728665243355176,0.8842089629220995,0.12493101460566312,0.2440138251859174,0.12296874736054801,0.2401811473034161,0.14935064935064934,0.547077922077922,1.6900452488687785
