phase,metric,summary,n_SAD,n_HC,mean_SAD,mean_HC,diff_SAD_minus_HC,cohens_d_SAD_minus_HC,hedges_g_SAD_minus_HC,t,p,q_within_phase_summary
phase3_reinstatement,CSR_CueThreatTarget_Proximity,initial_final_change,22,28,-0.005131408216548828,0.002296720956076022,-0.0074281291726248505,-0.34767087562145826,-0.3422100765279275,-1.2292250504935065,0.22518886457156786,0.40533995622882213
phase3_reinstatement,CSR_CueThreatTarget_Proximity,slope,22,28,-0.0006589546861053896,-0.0006353726294880173,-2.3582056617372322e-05,-0.008647163972335739,-0.008511344642927325,-0.031238194098679617,0.9752091168793138,0.9752091168793138
phase3_reinstatement,CSR_ShockTarget_Proximity,auc_mean,22,28,-1.774088670023948,-1.7630718924549527,-0.011016777568995328,-0.09866772459688679,-0.09711796976028647,-0.36169334655786683,0.7191917417312355,0.9554300510798217
phase3_reinstatement,CSR_ShockTarget_Proximity,early_late_change,22,28,0.03087542859011071,0.026209850294496666,0.004665578295614044,0.06294533109594685,0.06195666097402099,0.2175737435441967,0.8288089781018655,0.9519705936961539
phase3_reinstatement,CSR_ShockTarget_Proximity,initial_final_change,22,28,0.08319459605766388,0.0301243027682424,0.053070293289421484,0.46096734823792185,0.4537270233964885,1.615395687569561,0.11322145548389333,0.278665529243413
phase3_reinstatement,CSR_ShockTarget_Proximity,slope,22,28,0.00982252863071161,0.0034481644532283577,0.0063743641774832525,0.39923936914237895,0.39296859371082327,1.3609280761408518,0.18133082160480807,0.4753904774692567
phase3_reinstatement,CSR_to_CSminus_NonTarget_Distance,auc_mean,22,28,0.12292469989108938,0.13295399582343617,-0.01002929593234679,-0.1458353055543297,-0.14354469866080619,-0.5434863832412051,0.5894919819663742,0.9554300510798217
phase3_reinstatement,CSR_to_CSminus_NonTarget_Distance,early_late_change,22,28,0.01568532886043168,0.011647390566369051,0.004037938294062628,0.10542444631761658,0.1037685649618425,0.36154206170074726,0.7195745894966503,0.9519705936961539
phase3_reinstatement,CSR_to_CSminus_NonTarget_Distance,initial_final_change,22,28,0.041123717208368264,0.014233754236990085,0.02688996297137818,0.4500247791974418,0.44295632716816263,1.5688391218892328,0.12385134633040576,0.278665529243413
phase3_reinstatement,CSR_to_CSminus_NonTarget_Distance,slope,22,28,0.004945587113882854,0.0014403181294833003,0.003505268984399554,0.42435425965288565,0.41768900950126964,1.4339743920701549,0.15996503000142986,0.4753904774692567
phase3_reinstatement,CSR_to_HeldoutCSR_Distance,auc_mean,22,28,0.12326623359729805,0.12416813077332865,-0.0009018971760306055,-0.015573646606644929,-0.015329034356278779,-0.05618207970155608,0.9554300510798217,0.9554300510798217
phase3_reinstatement,CSR_to_HeldoutCSR_Distance,early_late_change,22,28,0.019078517348161572,0.015749819713354072,0.0033286976348075002,0.0864203951797925,0.08506300677382718,0.3081120155278987,0.7593488065205534,0.9519705936961539
phase3_reinstatement,CSR_to_HeldoutCSR_Distance,initial_final_change,22,28,0.046255125424917096,0.011937033280914064,0.03431809214400303,0.520352315263383,0.5121792422487749,1.8483092360767006,0.07086084636720681,0.278665529243413
phase3_reinstatement,CSR_to_HeldoutCSR_Distance,slope,22,28,0.005604541799988244,0.002075690758971317,0.0035288510410169272,0.40436868464614173,0.3980173440496055,1.4234190564009446,0.1614040366013023,0.4753904774692567
phase3_reinstatement,CSR_to_Shock_Distance,auc_mean,22,28,1.8970133699150376,1.8960258882783887,0.000987481636648857,0.02114787510401801,0.02081570952646799,0.07635747333941385,0.9394521232297661,0.9554300510798217
phase3_reinstatement,CSR_to_Shock_Distance,early_late_change,22,28,-0.015190099729679057,-0.014562459728127617,-0.00062764000155144,-0.017357842460000623,-0.017085206190995378,-0.06057525128589834,0.9519705936961539,0.9519705936961539
phase3_reinstatement,CSR_to_Shock_Distance,initial_final_change,22,28,-0.04207087884929562,-0.015890548531252293,-0.026180330318043326,-0.46577159880054775,-0.4584558145261936,-1.6400677218191146,0.10784782226982037,0.278665529243413
phase3_reinstatement,CSR_to_Shock_Distance,slope,22,28,-0.004876941516828757,-0.002007846323745055,-0.002869095193083702,-0.36874545044222606,-0.3629536370844948,-1.2696973779447611,0.21128465665300297,0.4753904774692567
phase3_reinstatement,CSS_SafetyTarget_Proximity,auc_mean,22,28,0.0018674075599898288,-0.012780313097008472,0.0146477206569983,0.3395712626610765,0.3342376826192795,1.3398233107615083,0.19083581887542558,0.9554300510798217
phase3_reinstatement,CSS_SafetyTarget_Proximity,early_late_change,22,28,0.0020003072431267147,0.003624990216870079,-0.0016246829737433643,-0.11797013294594727,-0.11611719892061827,-0.39912665074084147,0.6920736414254021,0.9519705936961539
phase3_reinstatement,CSS_SafetyTarget_Proximity,initial_final_change,22,28,0.005908725422561948,-3.501405735250358e-05,0.005943739479914452,0.17881969416780052,0.17601100787197121,0.6241647745170814,0.5357255922569782,0.8035883883854674
phase3_reinstatement,CSS_SafetyTarget_Proximity,slope,22,28,0.0005260279140710433,0.0007319723683337801,-0.0002059444542627368,-0.06541271101825823,-0.06438528623786674,-0.2229585120822075,0.8247293391092414,0.9278205064978966
phase3_reinstatement,CSS_to_CSR_NonTarget_Distance,auc_mean,22,28,0.12948981308349194,0.1200720950144609,0.00941771806903105,0.1666370978044152,0.1640197611896862,0.5810403543178182,0.5641757379272174,0.9554300510798217
phase3_reinstatement,CSS_to_CSR_NonTarget_Distance,early_late_change,22,28,0.028522506036818288,0.018088349798153377,0.01043415623866491,0.1695502178087794,0.1668871253824635,0.55887312653244,0.5802077370006989,0.9519705936961539
phase3_reinstatement,CSS_to_CSR_NonTarget_Distance,initial_final_change,22,28,0.062250181068577444,0.048454836637479314,0.01379534443109813,0.10268499363911165,0.10107214033587954,0.3366267682886486,0.7387195024193777,0.85165182731249
phase3_reinstatement,CSS_to_CSR_NonTarget_Distance,slope,22,28,0.007951496963235978,0.004894985833889372,0.003056511129346606,0.20022314443711203,0.19707827829412075,0.6580779123999727,0.5153727196229915,0.6788352221293473
phase3_reinstatement,CSS_to_CSminus_Distance,auc_mean,22,28,0.12762240552350212,0.13285240811146934,-0.005230002587967214,-0.07177612580731145,-0.07064875210353169,-0.262165615615058,0.7943245033510771,0.9554300510798217
phase3_reinstatement,CSS_to_CSminus_Distance,early_late_change,22,28,0.026522198793691578,0.014463359581283298,0.01205883921240828,0.18600533320164694,0.18308378346549542,0.6163998136522122,0.5419115943790322,0.9519705936961539
phase3_reinstatement,CSS_to_CSminus_Distance,initial_final_change,22,28,0.056341455646015476,0.04848985069483181,0.007851604951183665,0.057359627579148295,0.056458691020313506,0.18858452573076873,0.85165182731249,0.85165182731249
phase3_reinstatement,CSS_to_CSminus_Distance,slope,22,28,0.007425469049164934,0.004163013465555593,0.0032624555836093406,0.20918017683571175,0.20589462431996758,0.6889218252423048,0.49595445014287975,0.6788352221293473
phase3_reinstatement,CSS_to_Shock_NonTarget_Distance,auc_mean,22,28,1.8918242226278996,1.8975147556326732,-0.0056905330047736236,-0.11684797756271777,-0.11501266901461225,-0.4070254717650697,0.6859699573508042,0.9554300510798217
phase3_reinstatement,CSS_to_Shock_NonTarget_Distance,early_late_change,22,28,-0.023114725294080207,-0.01435048898642925,-0.008764236307650957,-0.1576388515011707,-0.15516284859801097,-0.5244943647909812,0.6033895292016263,0.9519705936961539
phase3_reinstatement,CSS_to_Shock_NonTarget_Distance,initial_final_change,22,28,-0.04994658078208445,-0.042845600307152905,-0.007100980474931545,-0.05949361492550816,-0.05855916024081432,-0.1958222802310561,0.8460218022631532,0.85165182731249
phase3_reinstatement,CSS_to_Shock_NonTarget_Distance,slope,22,28,-0.00656984375567675,-0.003941693850368625,-0.002628149905308125,-0.19323734275914273,-0.19020220124983683,-0.6380864696128019,0.527982950545048,0.6788352221293473
