AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
Habituation-adjusted CS+ learners,Extinction: All condition contrast,CSS - CS-,SAD vs 0,SAD,16,-0.021135715923198878,0.01908937642057847,-1.1071978181756865,0.8571758455060484,-0.27679945454392163
Habituation-adjusted CS+ learners,Extinction: All condition contrast,CSS - CS-,SAD vs HC,SAD-HC,30,-0.06346115080456335,,-2.086772828655019,0.04689359228107088,-0.7714945689518256
Habituation-adjusted CS+ learners,Extinction: All condition contrast,CSR - CS-,HC vs 0,HC,14,0.030217687129344313,0.016465472014796936,1.8352153586723026,0.04472496092838179,0.4904819359355148
Habituation-adjusted CS+ learners,Extinction: All condition contrast,CSR - CS-,SAD vs 0,SAD,16,-0.015468980477748445,0.018276107495212697,-0.8464045465808537,0.7946862609236727,-0.21160113664521343
Habituation-adjusted CS+ learners,Extinction: All condition contrast,CSR - CS-,SAD vs HC,SAD-HC,30,-0.04568666760709276,,-1.85723090814483,0.07383749225755082,-0.6717740217854019
Habituation-adjusted CS+ learners,Extinction: Early condition contrast,CS+ - CS-,HC vs 0,HC,14,0.02836664407923803,0.02932731008084081,0.9672432964716265,0.17553665888343323,0.2585066446464742
Habituation-adjusted CS+ learners,Extinction: Early condition contrast,CS+ - CS-,SAD vs 0,SAD,16,-0.013207384623995722,0.017806643121233034,-0.7417110869283916,0.7651413975716221,-0.1854277717320979
Habituation-adjusted CS+ learners,Extinction: Early condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,30,-0.04157402870323375,,-1.2117218832535734,0.23859816719302476,-0.45610375102992073
Habituation-adjusted CS+ learners,Extinction: Early condition contrast,CSS - CS-,HC vs 0,HC,14,0.025633293794988223,0.03304978815707103,0.7755963116363865,0.22593331420411122,0.2072868334706364
Habituation-adjusted CS+ learners,Extinction: Early condition contrast,CSS - CS-,SAD vs 0,SAD,16,-0.013072657803869245,0.015793006446752397,-0.827749792159266,0.7896064940459347,-0.2069374480398165
Habituation-adjusted CS+ learners,Extinction: Early condition contrast,CSS - CS-,SAD vs HC,SAD-HC,30,-0.038705951598857466,,-1.0566929682133956,0.3040653586661381,-0.4027120087818072
Habituation-adjusted CS+ learners,Extinction: Early condition contrast,CSR - CS-,HC vs 0,HC,14,0.031099994363487846,0.02954958448884228,1.0524680770124193,0.1558776020958868,0.28128392533552027
Habituation-adjusted CS+ learners,Extinction: Early condition contrast,CSR - CS-,SAD vs 0,SAD,16,-0.013342111444122194,0.02393012133199764,-0.5575446634397997,0.7073098005679154,-0.13938616585994992
Habituation-adjusted CS+ learners,Extinction: Early condition contrast,CSR - CS-,SAD vs HC,SAD-HC,30,-0.044442105807610044,,-1.1687892696027562,0.2531078857327113,-0.431984178515098
Habituation-adjusted CS+ learners,Extinction: Late condition contrast,CS+ - CS-,HC vs 0,HC,14,0.04417647793147074,0.020805441391907334,2.123313661043212,0.026748451091691487,0.5674794460200253
Habituation-adjusted CS+ learners,Extinction: Late condition contrast,CS+ - CS-,SAD vs 0,SAD,16,-0.023397311776951594,0.027277862317749573,-0.857739932272005,0.7977333908622193,-0.21443498306800124
Habituation-adjusted CS+ learners,Extinction: Late condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,30,-0.06757378970842233,,-1.969697837180543,0.05921539410076053,-0.7048320815596484
Habituation-adjusted CS+ learners,Extinction: Late condition contrast,CSS - CS-,HC vs 0,HC,14,0.059017575967740696,0.031719910421933645,1.8605845723615693,0.042784687079737246,0.49726214349245
Habituation-adjusted CS+ learners,Extinction: Late condition contrast,CSS - CS-,SAD vs 0,SAD,16,-0.02919877404252849,0.033689324509813885,-0.866707019727354,0.8001226524639324,-0.2166767549318385
Habituation-adjusted CS+ learners,Extinction: Late condition contrast,CSS - CS-,SAD vs HC,SAD-HC,30,-0.08821635001026919,,-1.906462405406423,0.0669023229746162,-0.6916363953060571
Habituation-adjusted CS+ learners,Extinction: Late condition contrast,CSR - CS-,HC vs 0,HC,14,0.029335379895200766,0.014084247529212435,2.082850349964074,0.028787612854680598,0.5566651712491262
Habituation-adjusted CS+ learners,Extinction: Late condition contrast,CSR - CS-,SAD vs 0,SAD,16,-0.017595849511374693,0.0229617727334043,-0.7663105856707929,0.7723085764882147,-0.19157764641769823
Habituation-adjusted CS+ learners,Extinction: Late condition contrast,CSR - CS-,SAD vs HC,SAD-HC,30,-0.04693122940657546,,-1.7422504688820388,0.09404675081715316,-0.6157806113146576
Late-phase sensitivity CS+ learners,Extinction: All condition contrast,CS+ - CS-,HC vs 0,HC,11,0.012610867574492224,0.008325982057876578,1.5146402534656007,0.08040615257302444,0.456681219374018
Late-phase sensitivity CS+ learners,Extinction: All condition contrast,CS+ - CS-,SAD vs 0,SAD,11,-0.04141457310365447,0.0170062525955346,-2.4352556726417705,0.9824335241215277,-0.7342572122488464
Late-phase sensitivity CS+ learners,Extinction: All condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,22,-0.05402544067814669,,-2.8532037011079217,0.01239216188874155,-1.216610145969376
