AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
Simple CS+ learners,Reinstatement: All condition contrast,CS+ - CS-,HC vs 0,HC,20,0.017503904082364234,0.010836595690323724,1.615258572209529,0.061369367786872325,0.36118279686997595
Simple CS+ learners,Reinstatement: All condition contrast,CS+ - CS-,SAD vs 0,SAD,19,0.02391089474247206,0.01214956837845307,1.968044789548029,0.032331592135904634,0.4515004396842963
Simple CS+ learners,Reinstatement: All condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,39,0.006406990660107827,,0.39354577241885347,0.6962198548857425,0.12637111318089714
Simple CS+ learners,Reinstatement: All condition contrast,CSS - CS-,HC vs 0,HC,20,0.019085623582873395,0.01070749966081729,1.7824538115760826,0.045331410443828976,0.3985687889437723
Simple CS+ learners,Reinstatement: All condition contrast,CSS - CS-,SAD vs 0,SAD,19,0.012656118010665508,0.013191645490197053,0.9594040425108825,0.17503304959409538,0.22010238249101777
Simple CS+ learners,Reinstatement: All condition contrast,CSS - CS-,SAD vs HC,SAD-HC,39,-0.006429505572207887,,-0.37842228696320684,0.7073962595046184,-0.12181121388007776
Simple CS+ learners,Reinstatement: All condition contrast,CSR - CS-,HC vs 0,HC,20,0.01592218458185508,0.014188185726065092,1.1222142766713619,0.1378767350742767,0.25093474079579214
Simple CS+ learners,Reinstatement: All condition contrast,CSR - CS-,SAD vs 0,SAD,19,0.0351656714742786,0.01499900457757726,2.344533685045304,0.01536039558809445,0.537872915938921
Simple CS+ learners,Reinstatement: All condition contrast,CSR - CS-,SAD vs HC,SAD-HC,39,0.019243486892423518,,0.932049468017987,0.3573942349033109,0.2988282464561783
Simple CS+ learners,Reinstatement: Early condition contrast,CS+ - CS-,HC vs 0,HC,20,0.02039574617944389,0.01764475058122246,1.1559101436746315,0.13102340515260885,0.2584693657138024
Simple CS+ learners,Reinstatement: Early condition contrast,CS+ - CS-,SAD vs 0,SAD,19,0.0475027389757958,0.02174745250565586,2.184289813413399,0.021207105682458385,0.5011104505302274
Simple CS+ learners,Reinstatement: Early condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,39,0.02710699279635191,,0.9679285552744237,0.33970412579357734,0.31157205824969425
Simple CS+ learners,Reinstatement: Early condition contrast,CSS - CS-,HC vs 0,HC,20,0.024283371851275555,0.019018803925883936,1.2768085703973593,0.1085273131611682,0.28550307576628214
Simple CS+ learners,Reinstatement: Early condition contrast,CSS - CS-,SAD vs 0,SAD,19,0.03399840279676571,0.025762188350416895,1.3197016625420153,0.10173713003198176,0.3027603254022769
Simple CS+ learners,Reinstatement: Early condition contrast,CSS - CS-,SAD vs HC,SAD-HC,39,0.009715030945490158,,0.30338661729335803,0.763469734685585,0.09788941836912826
Simple CS+ learners,Reinstatement: Early condition contrast,CSR - CS-,HC vs 0,HC,20,0.016508120507612224,0.019161444730786393,0.8615279661605517,0.19984498622857833,0.19264350968521324
Simple CS+ learners,Reinstatement: Early condition contrast,CSR - CS-,SAD vs 0,SAD,19,0.0610070751548259,0.022016941995818523,2.7709150147378514,0.006298472379349009,0.6356915015990425
Simple CS+ learners,Reinstatement: Early condition contrast,CSR - CS-,SAD vs HC,SAD-HC,39,0.04449895464721368,,1.524592546144005,0.13609421247818662,0.48987387142613964
Simple CS+ learners,Reinstatement: Late condition contrast,CS+ - CS-,HC vs 0,HC,20,0.014612061985284575,0.015809411384233432,0.924263505462135,0.18346972460749544,0.2066716027335582
