AnalysisSet,Subject,Phase,CSplus_minus_CSminus,CSS_minus_CSminus,CSR_minus_CSminus
All subjects,N259,Extinction,-0.00216635865521711,-0.0009521757761414285,-0.0033805415342927914
All subjects,N260,Extinction,0.03979639363837245,0.00526189980725289,0.07433088746949199
All subjects,N101,Reinstatement,0.01039026927101469,0.002135580822146016,0.01864495771988331
All subjects,N103,Reinstatement,0.018850447852730934,0.0,0.03770089570546181
All subjects,N104,Reinstatement,-0.024150080211599784,-0.02255855460583167,-0.025741605817367896
All subjects,N105,Reinstatement,-0.019901708323004114,-0.03156444979199391,-0.00823896685401429
All subjects,N106,Reinstatement,0.004976415210387386,0.015167194586827915,-0.005214364166053143
All subjects,N108,Reinstatement,0.044319271365819875,0.0011746791754066455,0.08746386355623309
All subjects,N109,Reinstatement,0.040623490189349076,0.04304569285036128,0.038201287528336875
All subjects,N110,Reinstatement,0.07546172273536439,0.04320630380363156,0.10771714166709723
All subjects,N111,Reinstatement,0.1331983967901048,0.027157187567487195,0.23923960601272237
All subjects,N112,Reinstatement,-0.0032531222583020436,-0.0038877437394992664,-0.0026185007771048485
All subjects,N113,Reinstatement,-0.03590038503760157,-0.04678188963562485,-0.02501888043957823
All subjects,N114,Reinstatement,0.07677103782977934,0.09816552872145234,0.055376546938106334
All subjects,N115,Reinstatement,-0.005908017796954448,-0.001797627450623368,-0.010018408143285515
All subjects,N117,Reinstatement,-0.04934481178526383,-0.0471147340100692,-0.05157488956045846
All subjects,N118,Reinstatement,0.009656613776880735,0.026885359719724528,-0.007572132165963058
All subjects,N121,Reinstatement,0.02542710813755794,-0.0013810294728456296,0.05223524574796151
All subjects,N122,Reinstatement,-0.09913646370949475,-0.15800004704541054,-0.040272880373578984
All subjects,N123,Reinstatement,0.04687984027775849,0.037685001476353674,0.0560746790791633
All subjects,N124,Reinstatement,0.0564822796877206,0.07942353971294433,0.033541019662496854
All subjects,N125,Reinstatement,0.003093143521769884,-0.005082827495033193,0.011269114538572933
All subjects,N127,Reinstatement,0.11683781304775614,0.12848628397748593,0.10518934211802636
All subjects,N128,Reinstatement,-0.02866930312776378,-0.10962728921372386,0.0522886829581963
All subjects,N129,Reinstatement,-0.015334647338750784,-0.008178078043774628,-0.02249121663372694
All subjects,N130,Reinstatement,0.004208338563895853,0.004534433998669624,0.0038822431291221093
All subjects,N131,Reinstatement,0.10580967678618589,0.11458896728615284,0.09703038628621893
All subjects,N132,Reinstatement,-0.0034857813913820035,-0.04610881764830853,0.039137254865544535
All subjects,N133,Reinstatement,-0.03435814910142007,-0.0376683466360318,-0.031047951566808285
All subjects,N134,Reinstatement,0.021648301093712748,0.04073756402649511,0.0025590381609303797
All subjects,N135,Reinstatement,-0.03297010805111303,-0.026216727636362527,-0.03972348846586353
All subjects,N136,Reinstatement,-0.02181521317170712,-0.02059618396305224,-0.023034242380361974
All subjects,N137,Reinstatement,-0.026374615155309616,-0.021180646073094084,-0.03156858423752515
All subjects,N138,Reinstatement,0.03372662189266007,0.04933940541557813,0.018113838369741952
All subjects,N141,Reinstatement,0.12401200986029136,0.1904256739375516,0.057598345783031135
All subjects,N142,Reinstatement,0.006114082474337479,0.0046060770330594025,0.007622087915615555
All subjects,N143,Reinstatement,-0.0075962732779517594,0.05317421353013918,-0.06836676008604264
All subjects,N144,Reinstatement,-2.1597997817562886e-05,-0.020593026799526626,0.0205498308038915
All subjects,N145,Reinstatement,0.01639962696519426,0.0065338282952467075,0.02626542563514178
All subjects,N146,Reinstatement,0.015195945173999137,0.01966237340258495,0.010729516945413353
All subjects,N147,Reinstatement,0.031454848534905405,0.04090117599273706,0.02200852107707376
All subjects,N148,Reinstatement,0.008140158140248127,-0.009847890656970809,0.026128206937467036
All subjects,N149,Reinstatement,0.01801091691469564,0.0037643790991204185,0.03225745473027089
All subjects,N150,Reinstatement,0.007822332015607503,-0.0073124738132386465,0.02295713784445365
All subjects,N151,Reinstatement,0.0573569362989625,0.06624531479051207,0.04846855780741289
All subjects,N153,Reinstatement,0.00119550808149263,0.03936460003322634,-0.03697358387024108
All subjects,N154,Reinstatement,-0.018918511523691922,-0.010615403744161894,-0.027221619303222006
All subjects,N155,Reinstatement,-0.008830147891144613,0.0008081013870837317,-0.018468397169372985
All subjects,N156,Reinstatement,-0.03146664030820301,-0.04226738488482476,-0.020665895731581257
All subjects,N157,Reinstatement,0.10923730073761606,0.08087299666381975,0.13760160481141237
All subjects,N158,Reinstatement,0.039091991901191,0.02835944048177169,0.049824543320610426
All subjects,N201,Reinstatement,0.001957427362590025,0.05517424072126767,-0.05125938599608766
All subjects,N202,Reinstatement,0.05311551287544289,0.05591584237904074,0.05031518337184504
All subjects,N203,Reinstatement,0.0,0.0,0.0
All subjects,N204,Reinstatement,-0.009275386167904954,-0.018114220932736798,-0.0004365514030731099
All subjects,N206,Reinstatement,-0.03088919932151206,0.008932279475630633,-0.07071067811865475
All subjects,N207,Reinstatement,0.00021827570153655496,-0.017677669529663688,0.018114220932736798
All subjects,N209,Reinstatement,0.0023536845081557067,0.009737077142378911,-0.0050297081260674975
All subjects,N210,Reinstatement,0.10972510548208506,0.060762116073277556,0.1586880948908925
All subjects,N211,Reinstatement,-0.01104374492261423,0.0009628380406292436,-0.023050327885857647
All subjects,N212,Reinstatement,0.057054964847886885,0.06254673304502331,0.051563196650750515
All subjects,N213,Reinstatement,0.026240955226535606,0.04847145979802822,0.004010450655042963
All subjects,N214,Reinstatement,-0.051639517318073425,-0.013130253126264313,-0.09014878150988256
All subjects,N215,Reinstatement,-0.007172169601483008,-0.010828695031367103,-0.0035156441715988584
All subjects,N216,Reinstatement,0.027497355954665847,-0.018579986740244525,0.07357469864957611
All subjects,N217,Reinstatement,0.007865889385578723,0.009164326875832629,0.0065674518953247885
All subjects,N219,Reinstatement,0.0022340512593721495,0.009800923967668657,-0.00533282144892433
All subjects,N220,Reinstatement,0.09130508288097952,0.05666548367034918,0.1259446820916098
All subjects,N221,Reinstatement,0.08644868769602355,0.09631959843999617,0.07657777695205092
