AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
Physiological responders,Acquisition: All condition contrast,CSS - CS-,SAD vs HC,SAD-HC,59,-0.01219675068614922,,-0.5861254513912643,0.5604980686357239,-0.15644369562746738
Physiological responders,Acquisition: All condition contrast,CSR - CS-,HC vs 0,HC,32,0.02882578391980884,0.014951558840680931,1.9279450542225898,0.031532987114209335,0.3408157553989648
Physiological responders,Acquisition: All condition contrast,CSR - CS-,SAD vs 0,SAD,27,0.026539448554113405,0.012237387672785892,2.168718460487539,0.019718135646539087,0.4173700623196638
Physiological responders,Acquisition: All condition contrast,CSR - CS-,SAD vs HC,SAD-HC,59,-0.002286335365695436,,-0.11833394102649014,0.9062241579968899,-0.030191035936419554
Physiological responders,Acquisition: Early condition contrast,CS+ - CS-,HC vs 0,HC,32,0.045843493923986775,0.01774085516857898,2.584063366076099,0.007349868866068024,0.4568021822920365
Physiological responders,Acquisition: Early condition contrast,CS+ - CS-,SAD vs 0,SAD,27,0.04680812347213909,0.02001371045520835,2.3388028710067497,0.013652870980652015,0.45010282238573884
Physiological responders,Acquisition: Early condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,59,0.0009646295481523168,,0.03606787302079014,0.9713597219463337,0.009454146537481292
Physiological responders,Acquisition: Early condition contrast,CSS - CS-,HC vs 0,HC,32,0.06643677328929176,0.015251550802459216,4.356066746902829,6.72927154161146e-05,0.7700510840090538
Physiological responders,Acquisition: Early condition contrast,CSS - CS-,SAD vs 0,SAD,27,0.05813937223893405,0.02714744833457802,2.1416146196282195,0.02088263766528064,0.4121539257142635
Physiological responders,Acquisition: Early condition contrast,CSS - CS-,SAD vs HC,SAD-HC,59,-0.008297401050357714,,-0.2664692979005087,0.7911963462125806,-0.07242629993376416
Physiological responders,Acquisition: Early condition contrast,CSR - CS-,HC vs 0,HC,32,0.02525021455868177,0.023996291798342107,1.0522548554950601,0.15040804612375122,0.18601413596425692
Physiological responders,Acquisition: Early condition contrast,CSR - CS-,SAD vs 0,SAD,27,0.035476874705344136,0.021558947704585725,1.6455754330624393,0.05594422458168977,0.31669113975014473
Physiological responders,Acquisition: Early condition contrast,CSR - CS-,SAD vs HC,SAD-HC,59,0.010226660146662365,,0.31702227249388193,0.7523853975079902,0.08149947333950243
Physiological responders,Acquisition: Late condition contrast,CS+ - CS-,HC vs 0,HC,32,0.027723355265813127,0.013176632510109428,2.103978785516186,0.02179454961892857,0.37193441667778293
Physiological responders,Acquisition: Late condition contrast,CS+ - CS-,SAD vs 0,SAD,27,0.012275639665816154,0.010731373710615746,1.1439019828069894,0.13154354326984513,0.22014403923338738
Physiological responders,Acquisition: Late condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,59,-0.015447715599996973,,-0.9090257340268731,0.3672147910718748,-0.23183229848339343
Physiological responders,Acquisition: Late condition contrast,CSS - CS-,HC vs 0,HC,32,0.023045357250690335,0.015673581736167015,1.4703312643282322,0.07577492144270237,0.25992030189927073
Physiological responders,Acquisition: Late condition contrast,CSS - CS-,SAD vs 0,SAD,27,0.006949256928749638,0.012862799996219889,0.5402600468631932,0.29680791999610595,0.10397309449628814
Physiological responders,Acquisition: Late condition contrast,CSS - CS-,SAD vs HC,SAD-HC,59,-0.0160961003219407,,-0.7938531585413171,0.43061159788531855,-0.20258235708934075
Physiological responders,Acquisition: Late condition contrast,CSR - CS-,HC vs 0,HC,32,0.03240135328093592,0.016020305900657405,2.0225177647579318,0.02591134347058328,0.35753400663264806
Physiological responders,Acquisition: Late condition contrast,CSR - CS-,SAD vs 0,SAD,27,0.017602022402882663,0.01344226840668553,1.3094532760652418,0.10091747241286522,0.2520044004758349
Physiological responders,Acquisition: Late condition contrast,CSR - CS-,SAD vs HC,SAD-HC,59,-0.014799330878053258,,-0.7076688932688214,0.48205592329501,-0.1809105006217714
Simple CS+ learners,Acquisition: All condition contrast,CS+ - CS-,HC vs 0,HC,21,0.06599932008247308,0.014787760969984454,4.4631043344854975,0.00011920711995100197,0.9739292117745382
Simple CS+ learners,Acquisition: All condition contrast,CS+ - CS-,SAD vs 0,SAD,20,0.051746794029952824,0.012573671627160998,4.115487946907415,0.0002942805161780958,0.9202510809866022
Simple CS+ learners,Acquisition: All condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,41,-0.01425252605252026,,-0.7342614893330754,0.46726111690672634,-0.22835699135988202
Simple CS+ learners,Acquisition: All condition contrast,CSS - CS-,HC vs 0,HC,21,0.07154159945643294,0.014897031116981119,4.802406526148872,5.420077303417231e-05,1.047971020191768
